B,S,p,nu,Q,aQB,mAQ
1000,50,971,1,971,3135,0
1000,50,977,1,977,3129,0
1000,50,983,1,983,3123,0
1000,50,991,1,991,3115,0
1000,50,997,1,997,3109,0
1000,50,1009,1,1009,3079,-27
1000,50,1013,1,1013,3067,-39
1000,50,1019,1,1019,3049,-57
1000,50,1021,1,1021,3043,-63
1000,50,1031,1,1031,3013,-81
1000,50,1033,1,1033,3007,-83
1000,50,1039,1,1039,2989,-89
1000,50,1049,1,1049,2959,-99
1000,50,1051,1,1051,2953,-100
1000,50,1061,1,1061,2923,-100
1000,50,1063,1,1063,2917,-100
1000,50,1069,1,1069,2899,-100
1000,50,1087,1,1087,2845,-100
1000,50,1091,1,1091,2833,-100
1000,50,1093,1,1093,2827,-100
1000,50,1097,1,1097,2815,-100
1000,50,1103,1,1103,2797,-100
1000,50,1109,1,1109,2779,-100
1000,50,1117,1,1117,2755,-100
1000,50,1123,1,1123,2737,-100
1000,50,1129,1,1129,2719,-100
1000,50,1151,1,1151,2653,-100
1000,50,1153,1,1153,2647,-100
1000,50,1163,1,1163,2617,-100
1000,50,1171,1,1171,2593,-100
1000,50,1181,1,1181,2563,-100
1000,50,1187,1,1187,2545,-100
1000,50,1193,1,1193,2527,-100
1000,50,1201,1,1201,2503,-100
1000,50,1213,1,1213,2467,-100
1000,50,1217,1,1217,2455,-100
1000,50,1223,1,1223,2445,-100
1000,50,1229,1,1229,2457,-100
1000,50,1231,1,1231,2461,-100
1000,50,1237,1,1237,2473,-100
1000,50,1249,1,1249,2497,-100
1000,50,1259,1,1259,2517,-100
1000,50,1277,1,1277,2553,-100
1000,50,1279,1,1279,2557,-100
1000,50,1283,1,1283,2565,-100
1000,50,1289,1,1289,2577,-100
1000,50,1291,1,1291,2581,-100
1000,50,1297,1,1297,2593,-100
1000,50,1301,1,1301,2601,-100
1000,50,1303,1,1303,2605,-100
1000,50,1307,1,1307,2613,-100
1000,50,1319,1,1319,2637,-100
1000,50,1321,1,1321,2641,-100
1000,50,1327,1,1327,2653,-100
1000,50,1361,1,1361,2721,-62
1000,50,1367,1,1367,2733,-53
1000,50,1373,1,1373,2733,-50
1000,50,1381,1,1381,2725,-50
1000,50,1399,1,1399,2707,-50
1000,50,1409,1,1409,2697,-50
1000,50,1423,1,1423,2683,-50
1000,50,1427,1,1427,2679,-50
1000,50,1429,1,1429,2677,-50
1000,50,1433,1,1433,2673,-50
1000,50,1439,1,1439,2667,-50
1000,50,1447,1,1447,2659,-50
1000,50,1451,1,1451,2655,-50
1000,50,1453,1,1453,2653,-50
1000,50,1459,1,1459,2647,-50
1000,50,1471,1,1471,2635,-50
1000,50,1481,1,1481,2625,-50
1000,50,1483,1,1483,2623,-50
1000,50,1487,1,1487,2619,-50
1000,50,1489,1,1489,2617,-50
1000,50,1493,1,1493,2613,-50
1000,50,1499,1,1499,2607,-50
1000,50,1511,1,1511,2595,-50
1000,50,1523,1,1523,2583,-50
1000,50,1531,1,1531,2575,-50
1000,50,1543,1,1543,2563,-50
1000,50,1549,1,1549,2557,-50
1000,50,1553,1,1553,2553,-50
1000,50,1559,1,1559,2547,-50
1000,50,1567,1,1567,2539,-50
1000,50,1571,1,1571,2535,-50
1000,50,1579,1,1579,2527,-50
1000,50,1583,1,1583,2523,-50
1000,50,1597,1,1597,2509,-50
1000,50,1601,1,1601,2505,-50
1000,50,1607,1,1607,2499,-50
1000,50,1609,1,1609,2497,-50
1000,50,1613,1,1613,2493,-50
1000,50,1619,1,1619,2487,-50
1000,50,1621,1,1621,2485,-50
1000,50,1627,1,1627,2479,-50
