B,S,p,nu,Q,aQB,mAQ
800,40,569,1,569,3179,0
800,40,571,1,571,3173,0
800,40,577,1,577,3155,0
800,40,587,1,587,3125,0
800,40,593,1,593,3107,0
800,40,599,1,599,3089,0
800,40,601,1,601,3083,0
800,40,607,1,607,3065,0
800,40,613,1,613,3047,0
800,40,617,1,617,3035,0
800,40,619,1,619,3029,0
800,40,631,1,631,2993,0
800,40,641,1,641,2963,0
800,40,643,1,643,2957,0
800,40,647,1,647,2945,0
800,40,653,1,653,2927,0
800,40,659,1,659,2901,0
800,40,661,1,661,2885,0
800,40,673,1,673,2789,0
800,40,677,1,677,2757,0
800,40,683,1,683,2709,0
800,40,691,1,691,2645,0
800,40,701,1,701,2585,0
800,40,709,1,709,2577,0
800,40,719,1,719,2567,0
800,40,727,1,727,2559,0
800,40,733,1,733,2553,0
800,40,739,1,739,2547,0
800,40,743,1,743,2543,0
800,40,751,1,751,2535,0
800,40,757,1,757,2529,0
800,40,761,1,761,2525,0
800,40,769,1,769,2517,0
800,40,773,1,773,2513,0
800,40,787,1,787,2499,0
800,40,797,1,797,2489,0
800,40,809,1,809,2459,-27
800,40,811,1,811,2453,-33
800,40,821,1,821,2423,-61
800,40,823,1,823,2417,-63
800,40,827,1,827,2405,-67
800,40,829,1,829,2399,-69
800,40,839,1,839,2369,-79
800,40,853,1,853,2327,-80
800,40,857,1,857,2315,-80
800,40,859,1,859,2309,-80
800,40,863,1,863,2297,-80
800,40,877,1,877,2255,-80
800,40,881,1,881,2243,-80
800,40,883,1,883,2237,-80
800,40,887,1,887,2225,-80
800,40,907,1,907,2165,-80
800,40,911,1,911,2153,-80
800,40,919,1,919,2129,-80
800,40,929,1,929,2099,-80
800,40,937,1,937,2075,-80
800,40,941,1,941,2063,-80
800,40,947,1,947,2045,-80
800,40,953,1,953,2027,-80
800,40,967,1,967,1985,-80
800,40,971,1,971,1973,-80
800,40,977,1,977,1955,-80
800,40,983,1,983,1965,-80
800,40,991,1,991,1981,-80
800,40,997,1,997,1993,-80
800,40,1009,1,1009,2017,-80
800,40,1013,1,1013,2025,-80
800,40,1019,1,1019,2037,-80
800,40,1021,1,1021,2041,-80
800,40,1031,1,1031,2061,-80
800,40,1033,1,1033,2065,-80
800,40,1039,1,1039,2077,-80
800,40,1049,1,1049,2097,-80
800,40,1051,1,1051,2101,-80
800,40,1061,1,1061,2121,-80
800,40,1063,1,1063,2125,-80
800,40,1069,1,1069,2137,-80
800,40,1087,1,1087,2173,-53
800,40,1091,1,1091,2181,-47
800,40,1093,1,1093,2185,-44
800,40,1097,1,1097,2189,-40
800,40,1103,1,1103,2183,-40
800,40,1109,1,1109,2177,-40
800,40,1117,1,1117,2169,-40
800,40,1123,1,1123,2163,-40
800,40,1129,1,1129,2157,-40
800,40,1151,1,1151,2135,-40
800,40,1153,1,1153,2133,-40
800,40,1163,1,1163,2123,-40
800,40,1171,1,1171,2115,-40
800,40,1181,1,1181,2105,-40
800,40,1187,1,1187,2099,-40
800,40,1193,1,1193,2093,-40
800,40,1201,1,1201,2085,-40
800,40,1213,1,1213,2073,-40
800,40,1217,1,1217,2069,-40
800,40,1223,1,1223,2063,-40
800,40,1229,1,1229,2057,-40
800,40,1231,1,1231,2055,-40
800,40,1237,1,1237,2049,-40
800,40,1249,1,1249,2037,-40
800,40,1259,1,1259,2027,-40
800,40,1277,1,1277,2009,-40
800,40,1279,1,1279,2007,-40
800,40,1283,1,1283,2003,-40
800,40,1289,1,1289,1997,-40
800,40,1291,1,1291,1995,-40
800,40,1297,1,1297,1989,-40
800,40,1301,1,1301,1985,-40
800,40,1303,1,1303,1983,-40
800,40,1307,1,1307,1979,-40
800,40,1319,1,1319,1967,-40
800,40,1321,1,1321,1965,-40
800,40,1327,1,1327,1959,-40
800,40,1361,1,1361,1925,-40
800,40,1367,1,1367,1919,-40
800,40,1373,1,1373,1913,-40
800,40,1381,1,1381,1905,-40
800,40,1399,1,1399,1887,-40
800,40,1409,1,1409,1877,-40
800,40,1423,1,1423,1863,-40
800,40,1427,1,1427,1859,-40
800,40,1429,1,1429,1857,-40
800,40,1433,1,1433,1853,-40
800,40,1439,1,1439,1847,-40
800,40,1447,1,1447,1839,-40
800,40,1451,1,1451,1835,-40
800,40,1453,1,1453,1833,-40
800,40,1459,1,1459,1827,-40
800,40,1471,1,1471,1815,-40
800,40,1481,1,1481,1805,-40
800,40,1483,1,1483,1803,-40
800,40,1487,1,1487,1799,-40
800,40,1489,1,1489,1797,-40
800,40,1493,1,1493,1793,-40
800,40,1499,1,1499,1787,-40
800,40,1511,1,1511,1775,-40
800,40,1523,1,1523,1763,-40
800,40,1531,1,1531,1755,-40
800,40,1543,1,1543,1743,-40
800,40,1549,1,1549,1737,-40
800,40,1553,1,1553,1733,-40
800,40,1559,1,1559,1727,-40
800,40,1567,1,1567,1719,-40
800,40,1571,1,1571,1715,-40
800,40,1579,1,1579,1707,-40
800,40,1583,1,1583,1703,-40
800,40,1597,1,1597,1689,-40
800,40,1601,1,1601,1684,-41
800,40,1607,1,1607,1666,-50
800,40,1609,1,1609,1660,-53
800,40,1613,1,1613,1648,-59
800,40,1619,1,1619,1630,-68
800,40,1621,1,1621,1624,-71
800,40,1627,1,1627,1606,-80
800,40,1637,1,1637,1600,-83
800,40,1657,1,1657,1600,-80
800,40,1663,1,1663,1600,-80
800,40,1667,1,1667,1600,-80
800,40,1669,1,1669,1600,-80
800,40,1693,1,1693,1600,-80
800,40,1697,1,1697,1600,-80
800,40,1699,1,1699,1600,-80
800,40,1709,1,1709,1600,-80
800,40,1721,1,1721,1600,-80
800,40,1723,1,1723,1600,-80
800,40,1733,1,1733,1600,-80
800,40,1741,1,1741,1600,-80
800,40,1747,1,1747,1600,-80
800,40,1753,1,1753,1600,-80
800,40,1759,1,1759,1600,-80
800,40,1777,1,1777,1600,-80
800,40,1783,1,1783,1600,-80
800,40,1787,1,1787,1600,-80
800,40,1789,1,1789,1600,-80
800,40,1801,1,1801,1600,-80
800,40,1811,1,1811,1600,-80
800,40,1823,1,1823,1600,-80
800,40,1831,1,1831,1600,-80
800,40,1847,1,1847,1600,-80
800,40,1861,1,1861,1600,-80
800,40,1867,1,1867,1600,-80
800,40,1871,1,1871,1600,-80
800,40,1873,1,1873,1600,-80
800,40,1877,1,1877,1600,-80
800,40,1879,1,1879,1600,-80
800,40,1889,1,1889,1600,-80
800,40,1901,1,1901,1600,-80
800,40,1907,1,1907,1600,-80
800,40,1913,1,1913,1600,-80
800,40,1931,1,1931,1600,-80
800,40,1933,1,1933,1600,-80
800,40,1949,1,1949,1600,-80
800,40,1951,1,1951,1600,-80
800,40,1973,1,1973,1600,-80
800,40,1979,1,1979,1600,-80
800,40,1987,1,1987,1600,-80
800,40,1993,1,1993,1600,-80
800,40,1997,1,1997,1600,-80
800,40,1999,1,1999,1600,-80
800,40,2003,1,2003,1600,-80
800,40,2011,1,2011,1600,-80
800,40,2017,1,2017,1600,-80
800,40,2027,1,2027,1600,-80
800,40,2029,1,2029,1600,-80
800,40,2039,1,2039,1600,-80
800,40,2053,1,2053,1600,-80
800,40,2063,1,2063,1600,-80
800,40,2069,1,2069,1600,-80
800,40,2081,1,2081,1600,-80
800,40,2083,1,2083,1600,-80
800,40,2087,1,2087,1600,-80
800,40,2089,1,2089,1600,-80
800,40,2099,1,2099,1600,-80
800,40,2111,1,2111,1600,-80
800,40,2113,1,2113,1600,-80
800,40,2129,1,2129,1600,-80
800,40,2131,1,2131,1600,-80
800,40,2137,1,2137,1600,-80
800,40,2141,1,2141,1600,-80
800,40,2143,1,2143,1600,-80
800,40,2153,1,2153,1600,-80
800,40,2161,1,2161,1600,-80
800,40,2179,1,2179,1600,-80
800,40,2203,1,2203,1600,-80
800,40,2207,1,2207,1600,-80
800,40,2213,1,2213,1600,-80
800,40,2221,1,2221,1600,-80
800,40,2237,1,2237,1600,-80
800,40,2239,1,2239,1600,-80
800,40,2243,1,2243,1600,-80
800,40,2251,1,2251,1600,-80
800,40,2267,1,2267,1600,-80
800,40,2269,1,2269,1600,-80
800,40,2273,1,2273,1600,-80
800,40,2281,1,2281,1600,-80
800,40,2287,1,2287,1600,-80
800,40,2293,1,2293,1600,-80
800,40,2297,1,2297,1600,-80
800,40,2309,1,2309,1600,-80
800,40,2311,1,2311,1600,-80
800,40,2333,1,2333,1600,-80
800,40,2339,1,2339,1600,-80
800,40,2341,1,2341,1600,-80
800,40,2347,1,2347,1600,-80
800,40,2351,1,2351,1600,-80
800,40,2357,1,2357,1600,-80
800,40,2371,1,2371,1600,-80
800,40,2377,1,2377,1600,-80
800,40,2381,1,2381,1600,-80
800,40,2383,1,2383,1600,-80
800,40,2389,1,2389,1600,-80
800,40,2393,1,2393,1600,-80
800,40,2399,1,2399,1600,-80
800,40,2411,1,2411,1600,-80
800,40,2417,1,2417,1600,-80
800,40,2423,1,2423,1600,-80
800,40,2437,1,2437,1600,-80
800,40,2441,1,2441,1600,-80
800,40,2447,1,2447,1600,-80
800,40,2459,1,2459,1600,-80
800,40,2467,1,2467,1600,-80
800,40,2473,1,2473,1600,-80
800,40,2477,1,2477,1600,-80
800,40,2503,1,2503,1600,-80
800,40,2521,1,2521,1600,-80
800,40,2531,1,2531,1600,-80
800,40,2539,1,2539,1600,-80
800,40,2543,1,2543,1600,-80
800,40,2549,1,2549,1600,-80
800,40,2551,1,2551,1600,-80
800,40,2557,1,2557,1600,-80
800,40,2579,1,2579,1600,-80
800,40,2591,1,2591,1600,-80
800,40,2593,1,2593,1600,-80
800,40,2609,1,2609,1600,-80
800,40,2617,1,2617,1600,-80
800,40,2621,1,2621,1600,-80
800,40,2633,1,2633,1600,-80
800,40,2647,1,2647,1600,-80
800,40,2657,1,2657,1600,-80
800,40,2659,1,2659,1600,-80
800,40,2663,1,2663,1600,-80
800,40,2671,1,2671,1600,-80
800,40,2677,1,2677,1600,-80
800,40,2683,1,2683,1600,-80
800,40,2687,1,2687,1600,-80
800,40,2689,1,2689,1600,-80
800,40,2693,1,2693,1600,-80
800,40,2699,1,2699,1600,-80
800,40,2707,1,2707,1600,-80
800,40,2711,1,2711,1600,-80
800,40,2713,1,2713,1600,-80
800,40,2719,1,2719,1600,-80
800,40,2729,1,2729,1600,-80
800,40,2731,1,2731,1600,-80
800,40,2741,1,2741,1600,-80
800,40,2749,1,2749,1600,-80
800,40,2753,1,2753,1600,-80
800,40,2767,1,2767,1600,-80
800,40,2777,1,2777,1600,-80
800,40,2789,1,2789,1600,-80
800,40,2791,1,2791,1600,-80
800,40,2797,1,2797,1600,-80
800,40,2801,1,2801,1600,-80
800,40,2803,1,2803,1600,-80
800,40,2819,1,2819,1600,-80
800,40,2833,1,2833,1600,-80
800,40,2837,1,2837,1600,-80
800,40,2843,1,2843,1600,-80
800,40,2851,1,2851,1600,-80
800,40,2857,1,2857,1600,-80
800,40,2861,1,2861,1600,-80
800,40,2879,1,2879,1600,-80
800,40,2887,1,2887,1600,-80
800,40,2897,1,2897,1600,-80
800,40,2903,1,2903,1600,-80
800,40,2909,1,2909,1600,-80
800,40,2917,1,2917,1600,-80
800,40,2927,1,2927,1600,-80
800,40,2939,1,2939,1600,-80
800,40,2953,1,2953,1600,-80
800,40,2957,1,2957,1600,-80
800,40,2963,1,2963,1600,-80
800,40,2969,1,2969,1600,-80
800,40,2971,1,2971,1600,-80
800,40,2999,1,2999,1600,-80
800,40,3001,1,3001,1600,-80
800,40,3011,1,3011,1600,-80
800,40,3019,1,3019,1600,-80
800,40,3023,1,3023,1600,-80
800,40,3037,1,3037,1600,-80
800,40,3041,1,3041,1600,-80
800,40,3049,1,3049,1600,-80
800,40,3061,1,3061,1600,-80
800,40,3067,1,3067,1600,-80
800,40,3079,1,3079,1600,-80
800,40,3083,1,3083,1600,-80
800,40,3089,1,3089,1600,-80
800,40,3109,1,3109,1600,-80
800,40,3119,1,3119,1600,-80
800,40,3121,1,3121,1600,-80
800,40,3137,1,3137,1600,-80
800,40,3163,1,3163,1600,-80
800,40,3167,1,3167,1600,-80
800,40,3169,1,3169,1600,-80
800,40,3181,1,3181,1600,-80
800,40,3187,1,3187,1600,-80
800,40,3191,1,3191,1600,-80
800,40,3203,1,3203,1600,-80
800,40,3209,1,3209,1600,-78
800,40,3217,1,3217,1600,-70
800,40,3221,1,3221,1600,-66
800,40,3229,1,3229,1600,-58
800,40,3251,1,3251,1600,-36
800,40,3253,1,3253,1600,-34
800,40,3257,1,3257,1600,-30
800,40,3259,1,3259,1600,-28
800,40,3271,1,3271,1600,-16
800,40,3299,1,3299,1588,0
800,40,3301,1,3301,1586,0
800,40,3307,1,3307,1580,0
800,40,3313,1,3313,1574,0
800,40,3319,1,3319,1568,0
800,40,3323,1,3323,1564,0
800,40,3329,1,3329,1558,0
800,40,3331,1,3331,1556,0
800,40,3343,1,3343,1544,0
800,40,3347,1,3347,1540,0
800,40,3359,1,3359,1528,0
800,40,3361,1,3361,1526,0
800,40,3371,1,3371,1516,0
800,40,3373,1,3373,1514,0
800,40,3389,1,3389,1498,0
800,40,3391,1,3391,1496,0
800,40,3407,1,3407,1480,0
800,40,3413,1,3413,1474,0
800,40,3433,1,3433,1454,0
800,40,3449,1,3449,1438,0
800,40,3457,1,3457,1430,0
800,40,3461,1,3461,1426,0
800,40,3463,1,3463,1424,0
800,40,3467,1,3467,1420,0
800,40,3469,1,3469,1418,0
800,40,3491,1,3491,1396,0
800,40,3499,1,3499,1388,0
800,40,3511,1,3511,1376,0
800,40,3517,1,3517,1370,0
800,40,3527,1,3527,1360,0
800,40,3529,1,3529,1358,0
800,40,3533,1,3533,1354,0
800,40,3539,1,3539,1348,0
800,40,3541,1,3541,1346,0
800,40,3547,1,3547,1340,0
800,40,3557,1,3557,1330,0
800,40,3559,1,3559,1328,0
800,40,3571,1,3571,1316,0
800,40,3581,1,3581,1306,0
800,40,3583,1,3583,1304,0
800,40,3593,1,3593,1294,0
800,40,3607,1,3607,1280,0
800,40,3613,1,3613,1274,0
800,40,3617,1,3617,1270,0
800,40,3623,1,3623,1264,0
800,40,3631,1,3631,1256,0
800,40,3637,1,3637,1250,0
800,40,3643,1,3643,1244,0
800,40,3659,1,3659,1228,0
800,40,3671,1,3671,1216,0
800,40,3673,1,3673,1214,0
800,40,3677,1,3677,1210,0
800,40,3691,1,3691,1196,0
800,40,3697,1,3697,1190,0
800,40,3701,1,3701,1186,0
800,40,3709,1,3709,1178,0
800,40,3719,1,3719,1168,0
800,40,3727,1,3727,1160,0
800,40,3733,1,3733,1154,0
800,40,3739,1,3739,1148,0
800,40,3761,1,3761,1126,0
800,40,3767,1,3767,1120,0
800,40,3769,1,3769,1118,0
800,40,3779,1,3779,1108,0
800,40,3793,1,3793,1094,0
800,40,3797,1,3797,1090,0
800,40,3803,1,3803,1084,0
800,40,3821,1,3821,1066,0
800,40,3823,1,3823,1064,0
800,40,3833,1,3833,1054,0
800,40,3847,1,3847,1040,0
800,40,3851,1,3851,1036,0
800,40,3853,1,3853,1034,0
800,40,3863,1,3863,1024,0
800,40,3877,1,3877,1010,0
800,40,3881,1,3881,1006,0
800,40,3889,1,3889,998,0
800,40,3907,1,3907,980,0
800,40,3911,1,3911,976,0
800,40,3917,1,3917,970,0
800,40,3919,1,3919,968,0
800,40,3923,1,3923,964,0
800,40,3929,1,3929,958,0
800,40,3931,1,3931,956,0
800,40,3943,1,3943,944,0
800,40,3947,1,3947,940,0
800,40,3967,1,3967,920,0
800,40,3989,1,3989,898,0
800,40,4001,1,4001,886,0
800,40,4003,1,4003,884,0
800,40,4007,1,4007,880,0
800,40,4013,1,4013,874,0
800,40,4019,1,4019,868,0
800,40,4021,1,4021,866,0
800,40,4027,1,4027,860,0
800,40,4049,1,4049,838,0
800,40,4051,1,4051,836,0
800,40,4057,1,4057,830,0
800,40,4073,1,4073,814,0
800,40,4079,1,4079,808,0
800,40,4091,1,4091,796,0
800,40,4093,1,4093,794,0
800,40,4099,1,4099,788,0
800,40,4111,1,4111,776,0
800,40,4127,1,4127,760,0
800,40,4129,1,4129,758,0
800,40,4133,1,4133,754,0
800,40,4139,1,4139,748,0
800,40,4153,1,4153,734,0
800,40,4157,1,4157,730,0
800,40,4159,1,4159,728,0
800,40,4177,1,4177,710,0
800,40,4201,1,4201,686,0
800,40,4211,1,4211,676,0
800,40,4217,1,4217,670,0
800,40,4219,1,4219,668,0
800,40,4229,1,4229,658,0
800,40,4231,1,4231,656,0
800,40,4241,1,4241,646,0
800,40,4243,1,4243,644,0
800,40,4253,1,4253,634,0
800,40,4259,1,4259,628,0
800,40,4261,1,4261,626,0
800,40,4271,1,4271,616,0
800,40,4273,1,4273,614,0
800,40,4283,1,4283,604,0
800,40,4289,1,4289,598,0
800,40,4297,1,4297,590,0
800,40,4327,1,4327,560,0
800,40,4337,1,4337,550,0
800,40,4339,1,4339,548,0
800,40,4349,1,4349,538,0
800,40,4357,1,4357,530,0
800,40,4363,1,4363,524,0
800,40,4373,1,4373,514,0
800,40,4391,1,4391,496,0
800,40,4397,1,4397,490,0
800,40,4409,1,4409,478,0
800,40,4421,1,4421,466,0
800,40,4423,1,4423,464,0
800,40,4441,1,4441,446,0
800,40,4447,1,4447,440,0
800,40,4451,1,4451,436,0
800,40,4457,1,4457,430,0
800,40,4463,1,4463,424,0
800,40,4481,1,4481,406,0
800,40,4483,1,4483,404,0
800,40,4493,1,4493,394,0
800,40,4507,1,4507,380,0
800,40,4513,1,4513,374,0
800,40,4517,1,4517,370,0
800,40,4519,1,4519,368,0
800,40,4523,1,4523,364,0
800,40,4547,1,4547,340,0
800,40,4549,1,4549,338,0
800,40,4561,1,4561,326,0
800,40,4567,1,4567,320,0
800,40,4583,1,4583,304,0
800,40,4591,1,4591,296,0
800,40,4597,1,4597,290,0
800,40,4603,1,4603,284,0
800,40,4621,1,4621,266,0
800,40,4637,1,4637,250,0
800,40,4639,1,4639,248,0
800,40,4643,1,4643,244,0
800,40,4649,1,4649,238,0
800,40,4651,1,4651,236,0
800,40,4657,1,4657,230,0
800,40,4663,1,4663,224,0
800,40,4673,1,4673,214,0
800,40,4679,1,4679,208,0
800,40,4691,1,4691,196,0
800,40,4703,1,4703,184,0
800,40,4721,1,4721,166,0
800,40,4723,1,4723,164,0
800,40,4729,1,4729,158,0
800,40,4733,1,4733,154,0
800,40,4751,1,4751,136,0
800,40,4759,1,4759,128,0
800,40,4783,1,4783,104,0
800,40,4787,1,4787,100,0
800,40,4789,1,4789,98,0
800,40,4793,1,4793,94,0
800,40,4799,1,4799,88,0
800,40,4801,1,4801,86,0
800,40,4813,1,4813,74,0
800,40,4817,1,4817,70,0
800,40,4831,1,4831,56,0
800,40,4861,1,4861,26,0
800,40,4871,1,4871,16,0
800,40,4877,1,4877,10,0
