B,S,p,nu,Q,aQB,mAQ
800,40,3,1,3,450399,20926
800,40,3,2,9,150665,6907
800,40,3,3,27,50750,2234
800,40,3,4,81,17450,667
800,40,3,5,243,6355,160
800,40,3,6,729,2557,0
800,40,3,7,2187,1600,-80
800,40,5,1,5,270560,12516
800,40,5,2,25,54752,2425
800,40,5,3,125,11578,403
800,40,5,4,625,3011,0
800,40,5,5,3125,1600,-80
800,40,7,1,7,193486,8911
800,40,7,2,49,28336,1189
800,40,7,3,343,4742,80
800,40,7,4,2401,1600,-80
800,40,11,1,11,123419,5633
800,40,11,2,121,11971,430
800,40,11,3,1331,1955,-40
800,40,13,1,13,104558,4753
800,40,13,2,169,8749,242
800,40,13,3,2197,1600,-80
800,40,17,1,17,80141,3610
800,40,17,2,289,5415,80
800,40,19,1,19,71790,3221
800,40,19,2,361,4562,80
800,40,23,1,23,59445,2642
800,40,23,2,529,3398,40
800,40,29,1,29,47314,2077
800,40,29,2,841,2363,-80
800,40,31,1,31,44306,1930
800,40,31,2,961,2003,-80
800,40,37,1,37,37262,1606
800,40,37,2,1369,1917,-40
800,40,41,1,41,33700,1438
800,40,41,2,1681,1600,-80
800,40,43,1,43,32171,1366
800,40,43,2,1849,1600,-80
800,40,47,1,47,29497,1243
800,40,47,2,2209,1600,-80
800,40,53,1,53,26245,1085
800,40,53,2,2809,1600,-80
800,40,59,1,59,23660,972
800,40,59,2,3481,1406,0
800,40,61,1,61,22907,931
800,40,61,2,3721,1166,0
800,40,67,1,67,20928,833
800,40,67,2,4489,398,0
800,40,71,1,71,19783,776
800,40,73,1,73,19275,754
800,40,79,1,79,17870,691
800,40,83,1,83,17040,655
800,40,89,1,89,15955,600
800,40,97,1,97,14696,544
800,40,101,1,101,14152,519
800,40,103,1,103,13880,496
800,40,107,1,107,13439,513
800,40,109,1,109,13157,474
800,40,113,1,113,12737,449
800,40,127,1,127,11410,398
800,40,131,1,131,11098,374
800,40,137,1,137,10630,338
800,40,139,1,139,10474,326
800,40,149,1,149,9835,317
800,40,151,1,151,9725,320
800,40,157,1,157,9385,295
800,40,163,1,163,9065,275
800,40,167,1,167,8845,245
800,40,173,1,173,8645,280
800,40,179,1,179,8354,264
800,40,181,1,181,8228,237
800,40,191,1,191,7868,236
800,40,193,1,193,7796,228
800,40,197,1,197,7628,231
800,40,199,1,199,7572,240
800,40,211,1,211,7148,160
800,40,223,1,223,6900,200
800,40,227,1,227,6788,200
800,40,229,1,229,6727,196
800,40,233,1,233,6565,157
800,40,239,1,239,6439,160
800,40,241,1,241,6397,160
800,40,251,1,251,6187,160
800,40,257,1,257,6007,149
800,40,263,1,263,5913,160
800,40,269,1,269,5809,139
800,40,271,1,271,5767,121
800,40,277,1,277,5641,89
800,40,281,1,281,5557,80
800,40,283,1,283,5515,80
800,40,293,1,293,5399,88
800,40,307,1,307,5253,120
800,40,311,1,311,5193,120
800,40,313,1,313,5163,120
800,40,317,1,317,5103,120
800,40,331,1,331,4862,80
800,40,337,1,337,4802,80
800,40,347,1,347,4702,80
800,40,349,1,349,4682,80
800,40,353,1,353,4642,80
800,40,359,1,359,4582,80
800,40,367,1,367,4486,80
800,40,373,1,373,4372,80
800,40,379,1,379,4298,80
800,40,383,1,383,4274,80
800,40,389,1,389,4238,80
800,40,397,1,397,4190,80
800,40,401,1,401,4162,74
800,40,409,1,409,4082,26
800,40,419,1,419,3982,2
800,40,421,1,421,3962,0
800,40,431,1,431,3862,0
800,40,433,1,433,3842,0
800,40,439,1,439,3782,0
800,40,443,1,443,3742,0
800,40,449,1,449,3734,0
800,40,457,1,457,3742,0
800,40,461,1,461,3746,10
800,40,463,1,463,3748,17
800,40,467,1,467,3752,31
800,40,479,1,479,3698,40
800,40,487,1,487,3650,40
800,40,491,1,491,3626,40
800,40,499,1,499,3578,40
800,40,503,1,503,3554,40
800,40,509,1,509,3518,40
800,40,521,1,521,3446,40
800,40,523,1,523,3434,40
800,40,541,1,541,3281,6
800,40,547,1,547,3245,-2
800,40,557,1,557,3215,0
800,40,563,1,563,3197,0
