B,S,p,nu,Q,aQB,mAQ
400,20,3,1,3,113201,5197
400,20,3,2,9,38004,1700
400,20,3,3,27,12935,532
400,20,3,4,81,4575,145
400,20,3,5,243,1834,20
400,20,3,6,729,917,-20
400,20,3,7,2187,260,0
400,20,5,1,5,68080,3098
400,20,5,2,25,13936,582
400,20,5,3,125,3113,80
400,20,5,4,625,1021,-20
400,20,7,1,7,48743,2198
400,20,7,2,49,7304,268
400,20,7,3,343,1349,0
400,20,7,4,2401,46,0
400,20,11,1,11,31164,1381
400,20,11,2,121,3197,80
400,20,11,3,1331,800,-40
400,20,13,1,13,26431,1158
400,20,13,2,169,2402,40
400,20,13,3,2197,250,0
400,20,17,1,17,20312,878
400,20,17,2,289,1579,0
400,20,19,1,19,18209,779
400,20,19,2,361,1285,0
400,20,23,1,23,15115,635
400,20,23,2,529,1057,-40
400,20,29,1,29,12070,491
400,20,29,2,841,800,-40
400,20,31,1,31,11313,454
400,20,31,2,961,800,-40
400,20,37,1,37,9545,370
400,20,37,2,1369,800,-40
400,20,41,1,41,8650,327
400,20,41,2,1681,766,0
400,20,43,1,43,8261,310
400,20,43,2,1849,598,0
400,20,47,1,47,7621,299
400,20,47,2,2209,238,0
400,20,53,1,53,6804,258
400,20,59,1,59,6127,207
400,20,61,1,61,5971,220
400,20,67,1,67,5450,188
400,20,71,1,71,5176,173
400,20,73,1,73,5053,176
400,20,79,1,79,4675,146
400,20,83,1,83,4465,125
400,20,89,1,89,4224,139
400,20,97,1,97,3890,112
400,20,101,1,101,3748,108
400,20,103,1,103,3676,88
400,20,107,1,107,3546,80
400,20,109,1,109,3520,94
400,20,113,1,113,3420,100
400,20,127,1,127,3067,79
400,20,131,1,131,2973,80
400,20,137,1,137,2861,49
400,20,139,1,139,2819,43
400,20,149,1,149,2695,56
400,20,151,1,151,2673,60
400,20,157,1,157,2583,60
400,20,163,1,163,2464,38
400,20,167,1,167,2422,40
400,20,173,1,173,2362,40
400,20,179,1,179,2302,40
400,20,181,1,181,2282,40
400,20,191,1,191,2146,40
400,20,193,1,193,2134,40
400,20,197,1,197,2110,40
400,20,199,1,199,2098,40
400,20,211,1,211,1982,0
400,20,223,1,223,1868,0
400,20,227,1,227,1872,0
400,20,229,1,229,1874,0
400,20,233,1,233,1878,12
400,20,239,1,239,1858,20
400,20,241,1,241,1846,20
400,20,251,1,251,1786,20
400,20,257,1,257,1750,20
400,20,263,1,263,1714,20
400,20,269,1,269,1665,10
400,20,271,1,271,1641,1
400,20,277,1,277,1615,0
400,20,281,1,281,1603,0
400,20,283,1,283,1597,0
400,20,293,1,293,1567,0
400,20,307,1,307,1525,0
400,20,311,1,311,1513,0
400,20,313,1,313,1507,0
400,20,317,1,317,1495,0
400,20,331,1,331,1445,0
400,20,337,1,337,1397,0
400,20,347,1,347,1317,0
400,20,349,1,349,1301,0
400,20,353,1,353,1293,0
400,20,359,1,359,1287,0
400,20,367,1,367,1279,0
400,20,373,1,373,1273,0
400,20,379,1,379,1267,0
400,20,383,1,383,1263,0
400,20,389,1,389,1257,0
400,20,397,1,397,1249,0
400,20,401,1,401,1243,-3
400,20,409,1,409,1219,-27
400,20,419,1,419,1189,-39
400,20,421,1,421,1183,-40
400,20,431,1,431,1153,-40
400,20,433,1,433,1147,-40
400,20,439,1,439,1129,-40
400,20,443,1,443,1117,-40
400,20,449,1,449,1099,-40
400,20,457,1,457,1075,-40
400,20,461,1,461,1063,-40
400,20,463,1,463,1057,-40
400,20,467,1,467,1045,-40
400,20,479,1,479,1009,-40
400,20,487,1,487,985,-40
400,20,491,1,491,981,-40
400,20,499,1,499,997,-40
400,20,503,1,503,1005,-40
