B,S,p,nu,Q,aQB,mAQ,term
1200,60,4793,1,4793,2400,-120,21356.777734
1200,60,4799,1,4799,2400,-120,21359.930361
1200,60,4801,1,4801,2400,-120,21360.980361
1200,60,4813,1,4813,2400,-114,21316.396735
1200,60,4817,1,4817,2400,-110,21284.565583
1200,60,4831,1,4831,2400,-96,21173.090676
1200,60,4861,1,4861,2400,-66,20933.872661
1200,60,4871,1,4871,2400,-56,20854.029935
1200,60,4877,1,4877,2400,-50,20806.099611
1200,60,4889,1,4889,2400,-38,20710.183587
1200,60,4903,1,4903,2400,-24,20598.188561
1200,60,4909,1,4909,2400,-18,20550.160141
1200,60,4919,1,4919,2400,-8,20470.072173
1200,60,4931,1,4931,2396,0,20373.899819
1200,60,4933,1,4933,2394,0,20357.864027
1200,60,4937,1,4937,2390,0,20325.786400
1200,60,4943,1,4943,2384,0,20277.654869
1200,60,4951,1,4951,2376,0,20213.451376
1200,60,4957,1,4957,2370,0,20165.277715
1200,60,4967,1,4967,2360,0,20084.948304
1200,60,4969,1,4969,2358,0,20068.876436
1200,60,4973,1,4973,2354,0,20036.726727
1200,60,4987,1,4987,2340,0,19924.140145
1200,60,4993,1,4993,2334,0,19875.859019
1200,60,4999,1,4999,2328,0,19827.560103
1200,60,5003,1,5003,2324,0,19795.350959
1200,60,5009,1,5009,2318,0,19747.022467
1200,60,5011,1,5011,2316,0,19730.909035
1200,60,5021,1,5021,2306,0,19650.312417
1200,60,5023,1,5023,2304,0,19634.187211
1200,60,5039,1,5039,2288,0,19505.115181
1200,60,5051,1,5051,2276,0,19408.229305
1200,60,5059,1,5059,2268,0,19343.599891
1200,60,5077,1,5077,2250,0,19198.070584
1200,60,5081,1,5081,2246,0,19165.709533
1200,60,5087,1,5087,2240,0,19117.153540
1200,60,5099,1,5099,2228,0,19019.989779
1200,60,5101,1,5101,2226,0,19003.789120
1200,60,5107,1,5107,2220,0,18955.175687
1200,60,5113,1,5113,2214,0,18906.545092
1200,60,5119,1,5119,2208,0,18857.897365
1200,60,5147,1,5147,2180,0,18630.649073
1200,60,5153,1,5153,2174,0,18581.904873
1200,60,5167,1,5167,2160,0,18468.102661
1200,60,5171,1,5171,2156,0,18435.570879
1200,60,5179,1,5179,2148,0,18370.484888
1200,60,5189,1,5189,2138,0,18289.085445
1200,60,5197,1,5197,2130,0,18223.932416
1200,60,5209,1,5209,2118,0,18126.147250
1200,60,5227,1,5227,2100,0,17979.344835
1200,60,5231,1,5231,2096,0,17946.701830
1200,60,5233,1,5233,2094,0,17930.377573
1200,60,5237,1,5237,2090,0,17897.723557
1200,60,5261,1,5261,2066,0,17701.645846
1200,60,5273,1,5273,2054,0,17603.508635
1200,60,5279,1,5279,2048,0,17554.415544
1200,60,5281,1,5281,2046,0,17538.047560
1200,60,5297,1,5297,2030,0,17407.038680
1200,60,5303,1,5303,2024,0,17357.880626
1200,60,5309,1,5309,2018,0,17308.706403
1200,60,5323,1,5323,2004,0,17193.903836
1200,60,5333,1,5333,1994,0,17111.848406
1200,60,5347,1,5347,1980,0,16996.896051
1200,60,5351,1,5351,1976,0,16964.036547
1200,60,5381,1,5381,1946,0,16717.365025
1200,60,5387,1,5387,1940,0,16667.983210
1200,60,5393,1,5393,1934,0,16618.585622
1200,60,5399,1,5399,1928,0,16569.172290
1200,60,5407,1,5407,1920,0,16503.263404
1200,60,5413,1,5413,1914,0,16453.813441
1200,60,5417,1,5417,1910,0,16420.838102
1200,60,5419,1,5419,1908,0,16404.347826
1200,60,5431,1,5431,1896,0,16305.369746
1200,60,5437,1,5437,1890,0,16255.857335
1200,60,5441,1,5441,1886,0,16222.840424
1200,60,5443,1,5443,1884,0,16206.329380
1200,60,5449,1,5449,1878,0,16156.785908
1200,60,5471,1,5471,1856,0,15974.994184
1200,60,5477,1,5477,1850,0,15925.378652
1200,60,5479,1,5479,1848,0,15908.836725
1200,60,5483,1,5483,1844,0,15875.747753
1200,60,5501,1,5501,1826,0,15726.763126
1200,60,5503,1,5503,1824,0,15710.200787
1200,60,5507,1,5507,1820,0,15677.071026
1200,60,5519,1,5519,1808,0,15577.641150
1200,60,5521,1,5521,1806,0,15561.063594
1200,60,5527,1,5527,1800,0,15511.320813
1200,60,5531,1,5531,1796,0,15478.150542
1200,60,5557,1,5557,1770,0,15262.380202
1200,60,5563,1,5563,1764,0,15212.546917
1200,60,5569,1,5569,1758,0,15162.698638
1200,60,5573,1,5573,1754,0,15129.458133
1200,60,5581,1,5581,1746,0,15062.957196
1200,60,5591,1,5591,1736,0,14979.793734
1200,60,5623,1,5623,1704,0,14713.393517
1200,60,5639,1,5639,1688,0,14580.035896
1200,60,5641,1,5641,1686,0,14563.358844
1200,60,5647,1,5647,1680,0,14513.317912
1200,60,5651,1,5651,1676,0,14479.949152
1200,60,5653,1,5653,1674,0,14463.262333
1200,60,5657,1,5657,1670,0,14429.883822
1200,60,5659,1,5659,1668,0,14413.192132
1200,60,5669,1,5669,1658,0,14329.709368
1200,60,5683,1,5683,1644,0,14212.765586
1200,60,5689,1,5689,1638,0,14162.622635
1200,60,5693,1,5693,1634,0,14129.185956
1200,60,5701,1,5701,1626,0,14062.293322
1200,60,5711,1,5711,1616,0,13978.641461
1200,60,5717,1,5717,1610,0,13928.431149
1200,60,5737,1,5737,1590,0,13760.959810
1200,60,5741,1,5741,1586,0,13727.446463
1200,60,5743,1,5743,1584,0,13710.687409
1200,60,5749,1,5749,1578,0,13660.400742
1200,60,5779,1,5779,1548,0,13408.754229
1200,60,5783,1,5783,1544,0,13375.174613
1200,60,5791,1,5791,1536,0,13307.996570
1200,60,5801,1,5801,1526,0,13223.988819
1200,60,5807,1,5807,1520,0,13173.565435
1200,60,5813,1,5813,1514,0,13123.128030
1200,60,5821,1,5821,1506,0,13055.856385
1200,60,5827,1,5827,1500,0,13005.386351
1200,60,5839,1,5839,1488,0,12904.404464
1200,60,5843,1,5843,1484,0,12870.731470
1200,60,5849,1,5849,1478,0,12820.210406
1200,60,5851,1,5851,1476,0,12803.366970
1200,60,5857,1,5857,1470,0,12752.827425
1200,60,5861,1,5861,1466,0,12719.126707
1200,60,5867,1,5867,1460,0,12668.564115
1200,60,5869,1,5869,1458,0,12651.706850
1200,60,5879,1,5879,1448,0,12567.397556
1200,60,5881,1,5881,1446,0,12550.531109
1200,60,5897,1,5897,1430,0,12415.544607
1200,60,5903,1,5903,1424,0,12364.899549
1200,60,5923,1,5923,1404,0,12195.984092
1200,60,5927,1,5927,1400,0,12162.182847
1200,60,5939,1,5939,1388,0,12060.742915
1200,60,5953,1,5953,1374,0,11942.327888
1200,60,5981,1,5981,1346,0,11705.277755
1200,60,5987,1,5987,1340,0,11654.443279
1200,60,6007,1,6007,1320,0,11484.898570
1200,60,6011,1,6011,1316,0,11450.971866
1200,60,6029,1,6029,1298,0,11298.228697
1200,60,6037,1,6037,1290,0,11230.304598
1200,60,6043,1,6043,1284,0,11179.346120
1200,60,6047,1,6047,1280,0,11145.366477
1200,60,6053,1,6053,1274,0,11094.386043
1200,60,6067,1,6067,1260,0,10975.380605
1200,60,6073,1,6073,1254,0,10924.356427
1200,60,6079,1,6079,1248,0,10873.319169
1200,60,6089,1,6089,1238,0,10788.228060
1200,60,6091,1,6091,1236,0,10771.205493
1200,60,6101,1,6101,1226,0,10686.070973
1200,60,6113,1,6113,1214,0,10583.861937
1200,60,6121,1,6121,1206,0,10515.693798
1200,60,6131,1,6131,1196,0,10430.451325
1200,60,6133,1,6133,1194,0,10413.398531
1200,60,6143,1,6143,1184,0,10328.113105
1200,60,6151,1,6151,1176,0,10259.859060
1200,60,6163,1,6163,1164,0,10157.435259
1200,60,6173,1,6173,1154,0,10072.043017
1200,60,6197,1,6197,1130,0,9866.957259
1200,60,6199,1,6199,1128,0,9849.857606
1200,60,6203,1,6203,1124,0,9815.654077
1200,60,6211,1,6211,1116,0,9747.230147
1200,60,6217,1,6217,1110,0,9695.897457
1200,60,6221,1,6221,1106,0,9661.668655
1200,60,6229,1,6229,1098,0,9593.194252
1200,60,6247,1,6247,1080,0,9439.045158
1200,60,6257,1,6257,1070,0,9353.358044
1200,60,6263,1,6263,1064,0,9301.929116
1200,60,6269,1,6269,1058,0,9250.487715
1200,60,6271,1,6271,1056,0,9233.337813
1200,60,6277,1,6277,1050,0,9181.879810
1200,60,6287,1,6287,1040,0,9096.088860
1200,60,6299,1,6299,1028,0,8993.094262
1200,60,6301,1,6301,1026,0,8975.923684
1200,60,6311,1,6311,1016,0,8890.050212
1200,60,6317,1,6317,1010,0,8838.509688
1200,60,6323,1,6323,1004,0,8786.956854
1200,60,6329,1,6329,998,0,8735.391730
1200,60,6337,1,6337,990,0,8666.619142
1200,60,6343,1,6343,984,0,8615.025408
1200,60,6353,1,6353,974,0,8529.008678
1200,60,6359,1,6359,968,0,8477.382366
1200,60,6361,1,6361,966,0,8460.170887
1200,60,6367,1,6367,960,0,8408.528333
1200,60,6373,1,6373,954,0,8356.873618
1200,60,6379,1,6379,948,0,8305.206760
1200,60,6389,1,6389,938,0,8219.068392
1200,60,6397,1,6397,930,0,8150.133501
1200,60,6421,1,6421,906,0,7943.200208
1200,60,6427,1,6427,900,0,7891.436831
1200,60,6449,1,6449,878,0,7701.535355
1200,60,6451,1,6451,876,0,7684.263622
1200,60,6469,1,6469,858,0,7528.758508
1200,60,6473,1,6473,854,0,7494.187295
1200,60,6481,1,6481,846,0,7425.029063
1200,60,6491,1,6491,836,0,7338.551693
1200,60,6521,1,6521,806,0,7078.923112
1200,60,6529,1,6529,798,0,7009.639239
1200,60,6547,1,6547,780,0,6853.674523
1200,60,6551,1,6551,776,0,6819.001439
1200,60,6553,1,6553,774,0,6801.662957
1200,60,6563,1,6563,764,0,6714.951164
1200,60,6569,1,6569,758,0,6662.908605
1200,60,6571,1,6571,756,0,6645.558508
1200,60,6577,1,6577,750,0,6593.500495
1200,60,6581,1,6581,746,0,6558.788723
1200,60,6599,1,6599,728,0,6402.522236
1200,60,6607,1,6607,720,0,6333.037180
1200,60,6619,1,6619,708,0,6228.771303
1200,60,6637,1,6637,690,0,6072.286580
1200,60,6653,1,6653,674,0,5933.102810
1200,60,6659,1,6659,668,0,5880.888034
1200,60,6661,1,6661,666,0,5863.480585
1200,60,6673,1,6673,654,0,5759.009428
1200,60,6679,1,6679,648,0,5706.756863
1200,60,6689,1,6689,638,0,5619.644146
1200,60,6691,1,6691,636,0,5602.217842
1200,60,6701,1,6701,626,0,5515.067542
1200,60,6703,1,6703,624,0,5497.633731
1200,60,6709,1,6709,618,0,5445.324806
1200,60,6719,1,6719,608,0,5358.118325
1200,60,6733,1,6733,594,0,5235.976997
1200,60,6737,1,6737,590,0,5201.068301
1200,60,6761,1,6761,566,0,4991.512165
1200,60,6763,1,6763,564,0,4974.041128
1200,60,6779,1,6779,548,0,4834.228513
1200,60,6781,1,6781,546,0,4816.746405
1200,60,6791,1,6791,536,0,4729.317468
1200,60,6793,1,6793,534,0,4711.828005
1200,60,6803,1,6803,524,0,4624.362340
1200,60,6823,1,6823,504,0,4449.339487
1200,60,6827,1,6827,500,0,4414.320309
1200,60,6829,1,6829,498,0,4396.808897
1200,60,6833,1,6833,494,0,4361.782433
1200,60,6841,1,6841,486,0,4291.714951
1200,60,6857,1,6857,470,0,4151.521894
1200,60,6863,1,6863,464,0,4098.929574
1200,60,6869,1,6869,458,0,4046.326407
1200,60,6871,1,6871,456,0,4028.789610
1200,60,6883,1,6883,444,0,3923.543588
1200,60,6899,1,6899,428,0,3783.148390
1200,60,6907,1,6907,420,0,3712.922081
1200,60,6911,1,6911,416,0,3677.801764
1200,60,6917,1,6917,410,0,3625.112346
1200,60,6947,1,6947,380,0,3361.504772
1200,60,6949,1,6949,378,0,3343.921450
1200,60,6959,1,6959,368,0,3255.987112
1200,60,6961,1,6961,366,0,3238.396702
1200,60,6967,1,6967,360,0,3185.618398
1200,60,6971,1,6971,356,0,3150.426972
1200,60,6977,1,6977,350,0,3097.631006
1200,60,6983,1,6983,344,0,3044.824463
1200,60,6991,1,6991,336,0,2974.399306
1200,60,6997,1,6997,330,0,2921.568132
1200,60,7001,1,7001,326,0,2886.341498
1200,60,7013,1,7013,314,0,2780.633546
1200,60,7019,1,7019,308,0,2727.763819
1200,60,7027,1,7027,300,0,2657.254545
1200,60,7039,1,7039,288,0,2551.455761
1200,60,7043,1,7043,284,0,2516.180217
1200,60,7057,1,7057,270,0,2392.679334
1200,60,7069,1,7069,258,0,2286.776371
1200,60,7079,1,7079,248,0,2198.492208
1200,60,7103,1,7103,224,0,1986.493042
1200,60,7109,1,7109,218,0,1933.467477
1200,60,7121,1,7121,206,0,1827.385509
1200,60,7127,1,7127,200,0,1774.329134
1200,60,7129,1,7129,198,0,1756.641398
1200,60,7151,1,7151,176,0,1562.001318
1200,60,7159,1,7159,168,0,1491.189098
1200,60,7177,1,7177,150,0,1331.795512
1200,60,7187,1,7187,140,0,1243.204076
1200,60,7193,1,7193,134,0,1190.035724
1200,60,7207,1,7207,120,0,1065.936967
1200,60,7211,1,7211,116,0,1030.470098
1200,60,7213,1,7213,114,0,1012.734987
1200,60,7219,1,7219,108,0,959.522946
1200,60,7229,1,7229,98,0,870.813887
1200,60,7237,1,7237,90,0,799.826583
1200,60,7243,1,7243,84,0,746.574424
1200,60,7247,1,7247,80,0,711.067430
1200,60,7253,1,7253,74,0,657.798614
1200,60,7283,1,7283,44,0,391.305118
1200,60,7297,1,7297,30,0,266.856558
1200,60,7307,1,7307,20,0,177.931761
1200,60,7309,1,7309,18,0,160.143511
1200,60,7321,1,7321,6,0,53.391013
