B,S,p,nu,Q,aQB,mAQ
1200,60,3,1,3,1011600,47190
1200,60,3,2,9,338001,15630
1200,60,3,3,27,113470,5111
1200,60,3,4,81,38625,1602
1200,60,3,5,243,13665,435
1200,60,3,6,729,5478,60
1200,60,3,7,2187,2739,-60
1200,60,3,8,6561,766,0
1200,60,5,1,5,607440,28254
1200,60,5,2,25,122448,5529
1200,60,5,3,125,25458,994
1200,60,5,4,625,6002,10
1200,60,5,5,3125,2400,-120
1200,60,7,1,7,434229,20139
1200,60,7,2,49,63074,2755
1200,60,7,3,343,10099,299
1200,60,7,4,2401,2524,-61
1200,60,11,1,11,276763,12761
1200,60,11,2,121,26250,1007
1200,60,11,3,1331,3333,-120
1200,60,13,1,13,234372,10775
1200,60,13,2,169,19137,677
1200,60,13,3,2197,2729,-60
1200,60,17,1,17,179503,8204
1200,60,17,2,289,11700,344
1200,60,17,3,4913,2400,-14
1200,60,19,1,19,160737,7326
1200,60,19,2,361,9597,240
1200,60,19,3,6859,468,0
1200,60,23,1,23,132988,6021
1200,60,23,2,529,6962,120
1200,60,29,1,29,105723,4747
1200,60,29,2,841,4803,0
1200,60,31,1,31,98985,4431
1200,60,31,2,961,4443,0
1200,60,37,1,37,83136,3695
1200,60,37,2,1369,3219,-120
1200,60,41,1,41,75125,3308
1200,60,41,2,1681,3245,-60
1200,60,43,1,43,71692,3149
1200,60,43,2,1849,3077,-60
1200,60,47,1,47,65710,2880
1200,60,47,2,2209,2717,-60
1200,60,53,1,53,58405,2532
1200,60,53,2,2809,2400,-120
1200,60,59,1,59,52580,2257
1200,60,59,2,3481,2400,-120
1200,60,61,1,61,50900,2178
1200,60,61,2,3721,2400,-120
1200,60,67,1,67,46434,1972
1200,60,67,2,4489,2400,-120
1200,60,71,1,71,43883,1854
1200,60,71,2,5041,2286,0
1200,60,73,1,73,42736,1801
1200,60,73,2,5329,1998,0
1200,60,79,1,79,39555,1632
1200,60,79,2,6241,1086,0
1200,60,83,1,83,37742,1573
1200,60,83,2,6889,438,0
1200,60,89,1,89,35285,1463
1200,60,97,1,97,32464,1319
1200,60,101,1,101,31212,1245
1200,60,103,1,103,30612,1224
1200,60,107,1,107,29515,1161
1200,60,109,1,109,29009,1147
1200,60,113,1,113,28015,1106
1200,60,127,1,127,25105,998
1200,60,131,1,131,24333,921
1200,60,137,1,137,23307,867
1200,60,139,1,139,23005,869
1200,60,149,1,149,21544,788
1200,60,151,1,151,21272,784
1200,60,157,1,157,20508,750
1200,60,163,1,163,19767,716
1200,60,167,1,167,19347,691
1200,60,173,1,173,18717,672
1200,60,179,1,179,18099,613
1200,60,181,1,181,17971,640
1200,60,191,1,191,17058,594
1200,60,193,1,193,16902,582
1200,60,197,1,197,16590,558
1200,60,199,1,199,16422,564
1200,60,211,1,211,15556,503
1200,60,223,1,223,14765,477
1200,60,227,1,227,14545,480
1200,60,229,1,229,14435,475
1200,60,233,1,233,14215,455
1200,60,239,1,239,13875,466
1200,60,241,1,241,13775,465
1200,60,251,1,251,13225,365
1200,60,257,1,257,13021,398
1200,60,263,1,263,12795,420
1200,60,269,1,269,12484,389
1200,60,271,1,271,12358,362
1200,60,277,1,277,12132,360
1200,60,281,1,281,11988,360
1200,60,283,1,283,11916,360
