B,S,p,nu,Q,aQB,mAQ
200,10,619,1,619,400,-20
200,10,631,1,631,400,-20
200,10,641,1,641,400,-20
200,10,643,1,643,400,-20
200,10,647,1,647,400,-20
200,10,653,1,653,400,-20
200,10,659,1,659,400,-20
200,10,661,1,661,400,-20
200,10,673,1,673,400,-20
200,10,677,1,677,400,-20
200,10,683,1,683,400,-20
200,10,691,1,691,400,-20
200,10,701,1,701,400,-20
200,10,709,1,709,400,-20
200,10,719,1,719,400,-20
200,10,727,1,727,400,-20
200,10,733,1,733,400,-20
200,10,739,1,739,400,-20
200,10,743,1,743,400,-20
200,10,751,1,751,400,-20
200,10,757,1,757,400,-20
200,10,761,1,761,400,-20
200,10,769,1,769,400,-20
200,10,773,1,773,400,-20
200,10,787,1,787,400,-20
200,10,797,1,797,400,-20
200,10,809,1,809,400,-18
200,10,811,1,811,400,-16
200,10,821,1,821,400,-6
200,10,823,1,823,400,-4
200,10,827,1,827,400,0
200,10,829,1,829,398,0
200,10,839,1,839,388,0
200,10,853,1,853,374,0
200,10,857,1,857,370,0
200,10,859,1,859,368,0
200,10,863,1,863,364,0
200,10,877,1,877,350,0
200,10,881,1,881,346,0
200,10,883,1,883,344,0
200,10,887,1,887,340,0
200,10,907,1,907,320,0
200,10,911,1,911,316,0
200,10,919,1,919,308,0
200,10,929,1,929,298,0
200,10,937,1,937,290,0
200,10,941,1,941,286,0
200,10,947,1,947,280,0
200,10,953,1,953,274,0
200,10,967,1,967,260,0
200,10,971,1,971,256,0
200,10,977,1,977,250,0
200,10,983,1,983,244,0
200,10,991,1,991,236,0
200,10,997,1,997,230,0
200,10,1009,1,1009,218,0
200,10,1013,1,1013,214,0
200,10,1019,1,1019,208,0
200,10,1021,1,1021,206,0
200,10,1031,1,1031,196,0
200,10,1033,1,1033,194,0
200,10,1039,1,1039,188,0
200,10,1049,1,1049,178,0
200,10,1051,1,1051,176,0
200,10,1061,1,1061,166,0
200,10,1063,1,1063,164,0
200,10,1069,1,1069,158,0
200,10,1087,1,1087,140,0
200,10,1091,1,1091,136,0
200,10,1093,1,1093,134,0
200,10,1097,1,1097,130,0
200,10,1103,1,1103,124,0
200,10,1109,1,1109,118,0
200,10,1117,1,1117,110,0
200,10,1123,1,1123,104,0
200,10,1129,1,1129,98,0
200,10,1151,1,1151,76,0
200,10,1153,1,1153,74,0
200,10,1163,1,1163,64,0
200,10,1171,1,1171,56,0
200,10,1181,1,1181,46,0
200,10,1187,1,1187,40,0
200,10,1193,1,1193,34,0
200,10,1201,1,1201,26,0
200,10,1213,1,1213,14,0
200,10,1217,1,1217,10,0
200,10,1223,1,1223,4,0
