B,S,p,nu,Q,aQB,mAQ
200,10,3,1,3,28599,1281
200,10,3,2,9,9666,411
200,10,3,3,27,3359,123
200,10,3,4,81,1254,23
200,10,3,5,243,497,-20
200,10,3,6,729,400,-20
200,10,5,1,5,17240,759
200,10,5,2,25,3608,130
200,10,5,3,125,902,10
200,10,5,4,625,400,-20
200,10,7,1,7,12371,535
200,10,7,2,49,1934,54
200,10,7,3,343,483,-10
200,10,11,1,11,7946,331
200,10,11,2,121,926,10
200,10,13,1,13,6755,277
200,10,13,2,169,701,0
200,10,17,1,17,5212,203
200,10,17,2,289,537,-10
200,10,19,1,19,4687,185
200,10,19,2,361,465,-10
200,10,23,1,23,3901,143
200,10,23,2,529,400,-20
200,10,29,1,29,3137,108
200,10,29,2,841,386,0
200,10,31,1,31,2956,106
200,10,31,2,961,266,0
200,10,37,1,37,2501,80
200,10,41,1,41,2275,65
200,10,43,1,43,2185,65
200,10,47,1,47,2012,60
200,10,53,1,53,1796,40
200,10,59,1,59,1639,40
200,10,61,1,61,1597,40
200,10,67,1,67,1471,37
200,10,71,1,71,1387,20
200,10,73,1,73,1359,20
200,10,79,1,79,1293,30
200,10,83,1,83,1222,20
200,10,89,1,89,1162,20
200,10,97,1,97,1070,20
200,10,101,1,101,1042,14
200,10,103,1,103,1022,4
200,10,107,1,107,982,0
200,10,109,1,109,962,0
200,10,113,1,113,938,0
200,10,127,1,127,890,10
200,10,131,1,131,866,10
200,10,137,1,137,815,-2
200,10,139,1,139,809,0
200,10,149,1,149,779,0
200,10,151,1,151,773,0
200,10,157,1,157,755,0
200,10,163,1,163,737,0
200,10,167,1,167,717,0
200,10,173,1,173,669,0
200,10,179,1,179,647,0
200,10,181,1,181,645,0
200,10,191,1,191,635,0
200,10,193,1,193,633,0
200,10,197,1,197,629,0
200,10,199,1,199,627,0
200,10,211,1,211,593,-20
200,10,223,1,223,557,-20
200,10,227,1,227,545,-20
200,10,229,1,229,539,-20
200,10,233,1,233,527,-20
200,10,239,1,239,509,-20
200,10,241,1,241,503,-20
200,10,251,1,251,501,-20
200,10,257,1,257,513,-20
200,10,263,1,263,525,-20
200,10,269,1,269,537,-20
200,10,271,1,271,541,-17
200,10,277,1,277,549,-10
200,10,281,1,281,545,-10
200,10,283,1,283,543,-10
200,10,293,1,293,533,-10
200,10,307,1,307,519,-10
200,10,311,1,311,515,-10
200,10,313,1,313,513,-10
200,10,317,1,317,509,-10
200,10,331,1,331,495,-10
200,10,337,1,337,489,-10
200,10,347,1,347,479,-10
200,10,349,1,349,477,-10
200,10,353,1,353,473,-10
200,10,359,1,359,467,-10
200,10,367,1,367,459,-10
200,10,373,1,373,453,-10
200,10,379,1,379,447,-10
200,10,383,1,383,443,-10
200,10,389,1,389,437,-10
200,10,397,1,397,429,-10
200,10,401,1,401,424,-11
200,10,409,1,409,400,-23
200,10,419,1,419,400,-20
200,10,421,1,421,400,-20
200,10,431,1,431,400,-20
200,10,433,1,433,400,-20
200,10,439,1,439,400,-20
200,10,443,1,443,400,-20
200,10,449,1,449,400,-20
200,10,457,1,457,400,-20
200,10,461,1,461,400,-20
200,10,463,1,463,400,-20
200,10,467,1,467,400,-20
200,10,479,1,479,400,-20
200,10,487,1,487,400,-20
200,10,491,1,491,400,-20
200,10,499,1,499,400,-20
200,10,503,1,503,400,-20
200,10,509,1,509,400,-20
200,10,521,1,521,400,-20
200,10,523,1,523,400,-20
200,10,541,1,541,400,-20
200,10,547,1,547,400,-20
200,10,557,1,557,400,-20
200,10,563,1,563,400,-20
200,10,569,1,569,400,-20
200,10,571,1,571,400,-20
200,10,577,1,577,400,-20
200,10,587,1,587,400,-20
200,10,593,1,593,400,-20
200,10,599,1,599,400,-20
200,10,601,1,601,400,-20
200,10,607,1,607,400,-20
200,10,613,1,613,400,-20
200,10,617,1,617,400,-20
